id,lesson_number,volume,type,korean,french,grammar_explanation,grammar_form_note,example_sentence,sort_order
177,5,1,expression,뭘 드릴까요?,que puis-je vous donner / que désirez-vous ?,,,,1
178,5,1,expression,몇 개 드릴까요?,combien en voulez-vous ?,,,,2
179,5,1,expression,얼마예요?,combien ça coûte ?,,,,3
180,5,1,expression,~하고 ~ 주세요,"donnez-moi ~ et ~, s'il vous plaît",,,,4
181,5,1,expression,여기 있습니다,voilà / c'est ici,,,,5
182,5,1,grammar,하고,"Relie deux noms (= et), indique aussi 'avec'","Relie deux noms (= et), indique aussi 'avec'",S'utilise avec toutes terminaisons. 와/과 plus formel,빵하고 우유를 먹어요 (Je mange du pain et du lait) / 친구하고 가요 (J'y vais avec un ami),1
183,5,1,grammar,"단위 명사 (개, 명, 마리...)",Compteurs utilisés avec les nombres coréens selon la nature de l'objet compté,Compteurs utilisés avec les nombres coréens selon la nature de l'objet compté,"하나→한 개, 둘→두 개, 셋→세 개, 넷→네 개, 스물→스무 개",사과 세 개 주세요 (Donnez-moi 3 pommes) / 학생 다섯 명 (5 étudiants),2
184,6,1,vocabulary,비빔밥,bibimbap (riz aux légumes assortis),,,,1
185,6,1,vocabulary,냉면,naengmyeon (nouilles froides),,,,2
186,6,1,vocabulary,비빔냉면,bibim-naengmyeon (nouilles froides épicées),,,,3
187,6,1,vocabulary,물냉면,mul-naengmyeon (nouilles froides en bouillon),,,,4
188,6,1,vocabulary,김치찌개,kimchi jjigae (ragoût de kimchi),,,,5
189,6,1,vocabulary,된장찌개,doenjang jjigae (ragoût de pâte de soja),,,,6
190,6,1,vocabulary,불고기,bulgogi (boeuf grillé mariné),,,,7
191,6,1,vocabulary,삼계탕,samgyetang (soupe de poulet au ginseng),,,,8
192,6,1,vocabulary,잡채,japchae (nouilles de verre aux légumes),,,,9
193,6,1,vocabulary,김밥,gimbap (rouleau de riz),,,,10
194,6,1,vocabulary,떡볶이,tteokbokki (gâteau de riz épicé),,,,11
195,6,1,vocabulary,스파게티,spaghetti,,,,12
196,6,1,vocabulary,피자,pizza,,,,13
197,6,1,vocabulary,스테이크,steak,,,,14
198,6,1,vocabulary,치킨,poulet frit,,,,15
199,6,1,vocabulary,맛있다,être délicieux,,,,16
200,6,1,vocabulary,맛없다,être mauvais,,,,17
201,6,1,vocabulary,맵다,être épicé,,,,18
202,6,1,vocabulary,달다,être sucré,,,,19
203,6,1,vocabulary,짜다,être salé,,,,20
204,6,1,vocabulary,쓰다,être amer,,,,21
205,6,1,vocabulary,시다,être acide / aigre,,,,22
206,6,1,vocabulary,좋아하다,aimer,,,,23
207,6,1,vocabulary,싫어하다,ne pas aimer / détester,,,,24
208,6,1,vocabulary,소고기,boeuf,,,,25
209,6,1,vocabulary,고기,viande,,,,26
210,6,1,vocabulary,다,tout / tous,,,,27
211,6,1,vocabulary,그런데,mais / cependant,,,,28
212,6,1,vocabulary,별로,pas vraiment / pas tellement,,,,29
213,6,1,vocabulary,인분,portion (pour N personnes),,,,30
214,6,1,expression,무슨 음식을 좋아해요?,quel genre de nourriture aimez-vous ?,,,,1
215,6,1,expression,~를/을 빼 주세요,retirez ~ s'il vous plaît,,,,2
216,6,1,expression,여기요!,excusez-moi ! (appeler le serveur),,,,3
217,6,1,expression,~하나/하나 주세요,"un(e) ~, s'il vous plaît",,,,4
218,6,1,expression,알겠어요,d'accord / j'ai compris,,,,5
219,6,1,grammar,을/를,Indique le complément d'objet direct de la phrase,Indique le complément d'objet direct de la phrase,"을 après consonne, 를 après voyelle. Peut être omis avec 명사+하다",냉면을 좋아해요 (J'aime le naengmyeon) / 친구를 기다려요 (J'attends un ami),1
220,6,1,grammar,"안, -지 않다",Exprime la négation de l'action ou de l'état du sujet,Exprime la négation de l'action ou de l'état du sujet,"안 devant le verbe, -지 않아요 après. Ne s'utilise pas avec 알다/모르다/있다/없다",운동을 안 해요 (Je ne fais pas de sport) / 맵지 않아요 (Ce n'est pas épicé),2
221,7,1,vocabulary,일월,janvier,,,,1
222,7,1,vocabulary,이월,février,,,,2
223,7,1,vocabulary,삼월,mars,,,,3
224,7,1,vocabulary,사월,avril,,,,4
225,7,1,vocabulary,오월,mai,,,,5
226,7,1,vocabulary,유월,juin,,,,6
227,7,1,vocabulary,칠월,juillet,,,,7
228,7,1,vocabulary,팔월,août,,,,8
229,7,1,vocabulary,구월,septembre,,,,9
230,7,1,vocabulary,시월,octobre,,,,10
231,7,1,vocabulary,십일월,novembre,,,,11
232,7,1,vocabulary,십이월,décembre,,,,12
233,7,1,vocabulary,월요일,lundi,,,,13
234,7,1,vocabulary,화요일,mardi,,,,14
235,7,1,vocabulary,수요일,mercredi,,,,15
236,7,1,vocabulary,목요일,jeudi,,,,16
237,7,1,vocabulary,금요일,vendredi,,,,17
238,7,1,vocabulary,토요일,samedi,,,,18
239,7,1,vocabulary,일요일,dimanche,,,,19
240,7,1,vocabulary,오전,matin / avant-midi,,,,20
241,7,1,vocabulary,오후,après-midi,,,,21
242,7,1,vocabulary,아침,matin,,,,22
243,7,1,vocabulary,점심,déjeuner / midi,,,,23
244,7,1,vocabulary,저녁,soir / dîner,,,,24
245,7,1,vocabulary,오늘,aujourd'hui,,,,25
246,7,1,vocabulary,내일,demain,,,,26
247,7,1,vocabulary,어제,hier,,,,27
248,7,1,vocabulary,이번 주,cette semaine,,,,28
249,7,1,vocabulary,다음 주,la semaine prochaine,,,,29
250,7,1,vocabulary,지난주,la semaine dernière,,,,30
251,7,1,vocabulary,이번 달,ce mois-ci,,,,31
252,7,1,vocabulary,생일,anniversaire,,,,32
253,7,1,vocabulary,며칠,quel jour du mois,,,,33
254,7,1,vocabulary,몇 시,quelle heure,,,,34
255,7,1,vocabulary,분,minute,,,,35
256,7,1,vocabulary,시작하다,commencer,,,,36
257,7,1,vocabulary,끝나다,finir / se terminer,,,,37
258,7,1,vocabulary,일찍,tôt,,,,38
259,7,1,vocabulary,빨리,vite / rapidement,,,,39
260,7,1,vocabulary,출발하다,partir / démarrer,,,,40
261,7,1,expression,생일이 언제예요?,quand est votre anniversaire ?,,,,1
262,7,1,expression,오늘은 며칠이에요?,quelle est la date d'aujourd'hui ?,,,,2
263,7,1,expression,몇 시예요?,quelle heure est-il ?,,,,3
264,7,1,expression,~시에 만나요,on se retrouve à ~ heures,,,,4
265,7,1,expression,빨리 오세요,venez vite,,,,5
266,7,1,grammar,에 (temps),S'attache aux noms de temps pour indiquer quand une action se produit,S'attache aux noms de temps pour indiquer quand une action se produit,"Ne s'utilise pas avec : 오늘, 어제, 내일, 그저께, 모레, 매일, 언제",2시에 수업이 끝나요 (Le cours finit à 14h) / 월요일에 만나요 (On se voit lundi),1
267,7,1,grammar,-으세요/-세요,S'attache aux verbes pour formuler une demande ou un ordre poli,S'attache aux verbes pour formuler une demande ou un ordre poli,"-으세요 après consonne (sauf ㄹ), -세요 après voyelle ou ㄹ. 먹다→드세요, 자다→주무세요",잘 들으세요 (Écoutez bien) / 10분 후에 전화하세요 (Appelez dans 10 minutes),2
268,8,1,vocabulary,공원,parc,,,,1
269,8,1,vocabulary,병원,hôpital / clinique,,,,2
270,8,1,vocabulary,시장,marché,,,,3
271,8,1,vocabulary,공연장,salle de spectacle / concert,,,,4
272,8,1,vocabulary,영화관,cinéma,,,,5
273,8,1,vocabulary,백화점,grand magasin,,,,6
274,8,1,vocabulary,편의점,supérette,,,,7
275,8,1,vocabulary,수영장,piscine,,,,8
276,8,1,vocabulary,은행,banque,,,,9
277,8,1,vocabulary,테니스를 치다,jouer au tennis,,,,10
278,8,1,vocabulary,낚시를 하다,pêcher,,,,11
279,8,1,vocabulary,등산을 하다,faire de la randonnée,,,,12
280,8,1,vocabulary,그림을 그리다,dessiner,,,,13
281,8,1,vocabulary,축구를 하다,jouer au football,,,,14
282,8,1,vocabulary,요리를 하다,cuisiner,,,,15
283,8,1,vocabulary,기타를 치다,jouer de la guitare,,,,16
284,8,1,vocabulary,사진을 찍다,prendre des photos,,,,17
285,8,1,vocabulary,노래를 부르다,chanter,,,,18
286,8,1,vocabulary,춤을 추다,danser,,,,19
287,8,1,vocabulary,음악을 듣다,écouter de la musique,,,,20
288,8,1,vocabulary,자전거를 타다,faire du vélo,,,,21
289,8,1,vocabulary,비자를 신청하다,faire une demande de visa,,,,22
290,8,1,vocabulary,한국어를 배우다,apprendre le coréen,,,,23
291,8,1,vocabulary,케이팝,K-pop,,,,24
292,8,1,vocabulary,공연을 보다,voir un spectacle,,,,25
293,8,1,vocabulary,사인을 받다,obtenir un autographe,,,,26
294,8,1,vocabulary,동대문시장,marché de Dongdaemun,,,,27
295,8,1,vocabulary,명동,Myeongdong (quartier de Séoul),,,,28
296,8,1,vocabulary,어울리다,aller bien / être assorti,,,,29
297,8,1,vocabulary,지난가을,l'automne dernier,,,,30
298,8,1,vocabulary,작년,l'année dernière,,,,31
299,8,1,vocabulary,행복하다,être heureux / heureuse,,,,32
300,8,1,expression,주말에 뭐 했어요?,qu'avez-vous fait ce week-end ?,,,,1
301,8,1,expression,어제 뭐 했어요?,qu'avez-vous fait hier ?,,,,2
302,8,1,expression,어디에서 ~했어요?,où avez-vous ~ ?,,,,3
303,8,1,expression,정말 재미있었어요,c'était vraiment amusant,,,,4
304,8,1,grammar,에서,Indique le lieu où se déroule une action,Indique le lieu où se déroule une action,"Différent de 에 qui indique la destination. 에서 = lieu d'action, 에 = lieu d'existence/destination",카페에서 친구를 만났어요 (J'ai rencontré un ami au café),1
305,8,1,grammar,-았어요/-었어요/-였어요,Décrit une action ou un état au passé,Décrit une action ou un état au passé,"았어요 si voyelle ㅏ/ㅗ, 었어요 sinon, 했어요 pour 하다. Passé de 이에요 = 이었어요/였어요",지난 주말에 영화를 봤어요 (J'ai vu un film le week-end dernier),2
306,9,1,vocabulary,취미,loisir / passe-temps,,,,1
307,9,1,vocabulary,항상,toujours,,,,2
308,9,1,vocabulary,가끔,de temps en temps,,,,3
309,9,1,vocabulary,자주,souvent,,,,4
310,9,1,vocabulary,별로 안,pas vraiment / pas tellement,,,,5
311,9,1,vocabulary,거의 안,presque jamais,,,,6
312,9,1,vocabulary,전혀 안,jamais (pas du tout),,,,7
313,9,1,vocabulary,만,seulement,,,,8
314,9,1,vocabulary,볼링을 치다,jouer au bowling,,,,9
315,9,1,vocabulary,탁구를 치다,jouer au ping-pong,,,,10
316,9,1,vocabulary,수영하다,nager,,,,11
317,9,1,vocabulary,요가를 하다,faire du yoga,,,,12
318,9,1,vocabulary,골프를 치다,jouer au golf,,,,13
319,9,1,vocabulary,농구를 하다,jouer au basket,,,,14
320,9,1,vocabulary,야구를 하다,jouer au baseball,,,,15
321,9,1,vocabulary,매일,tous les jours,,,,16
322,9,1,vocabulary,주말,week-end,,,,17
323,9,1,vocabulary,이따가,tout à l'heure / plus tard,,,,18
324,9,1,vocabulary,미안해요,je suis désolé(e),,,,19
325,9,1,vocabulary,다른 약속이 있어요,j'ai un autre rendez-vous,,,,20
326,9,1,vocabulary,다음에 꼭 같이 가요,on ira ensemble la prochaine fois,,,,21
327,9,1,expression,취미가 뭐예요?,quel est votre passe-temps ?,,,,1
328,9,1,expression,~를/을 좋아해요?,aimez-vous ~ ?,,,,2
329,9,1,expression,같이 ~해요,faisons ~ ensemble,,,,3
330,9,1,expression,시간 있어요?,avez-vous du temps ?,,,,4
331,9,1,expression,아직 특별한 계획은 없어요,je n'ai pas encore de projets particuliers,,,,5
332,9,1,grammar,-을 거예요/-ㄹ 거예요 (1),Exprime un plan ou une action future,Exprime un plan ou une action future,"-을 거예요 après consonne, -ㄹ 거예요 après voyelle ou ㄹ",내일 친구를 만날 거예요 (Je vais rencontrer un ami demain),1
333,9,1,grammar,-아요/-어요/-여요 (2) suggestion,Utilisé pour faire des suggestions à quelqu'un d'autre (= on fait ~ ?),Utilisé pour faire des suggestions à quelqu'un d'autre (= on fait ~ ?),Même forme que le présent mais intonation montante-descendante plus prolongée,같이 점심 먹어요 (On déjeune ensemble ?) / 저하고 가요 (Venez avec moi),2
334,10,1,vocabulary,할아버지,grand-père,,,,1
335,10,1,vocabulary,할머니,grand-mère,,,,2
336,10,1,vocabulary,아버지,père,,,,3
337,10,1,vocabulary,어머니,mère,,,,4
338,10,1,vocabulary,오빠,grand frère (d'une fille),,,,5
339,10,1,vocabulary,형,grand frère (d'un garçon),,,,6
340,10,1,vocabulary,언니,grande sœur (d'une fille),,,,7
341,10,1,vocabulary,누나,grande sœur (d'un garçon),,,,8
342,10,1,vocabulary,남동생,petit frère,,,,9
343,10,1,vocabulary,여동생,petite sœur,,,,10
344,10,1,vocabulary,남편,mari,,,,11
345,10,1,vocabulary,아내,femme / épouse,,,,12
346,10,1,vocabulary,아들,fils,,,,13
347,10,1,vocabulary,딸,fille,,,,14
348,10,1,vocabulary,고모,tante (sœur du père),,,,15
349,10,1,vocabulary,이모,tante (sœur de la mère),,,,16
350,10,1,vocabulary,삼촌,oncle (frère du père),,,,17
351,10,1,vocabulary,외삼촌,oncle (frère de la mère),,,,18
352,10,1,vocabulary,성함,nom (honorifique),,,,19
353,10,1,vocabulary,연세,âge (honorifique),,,,20
354,10,1,vocabulary,생신,anniversaire (honorifique),,,,21
355,10,1,vocabulary,댁,maison (honorifique),,,,22
356,10,1,vocabulary,물고기,poisson,,,,23
357,10,1,vocabulary,크다,être grand / gros,,,,24
358,10,1,vocabulary,고궁,palais ancien,,,,25
359,10,1,vocabulary,사진을 찍다,prendre une photo,,,,26
360,10,1,vocabulary,체스를 두다,jouer aux échecs,,,,27
361,10,1,expression,~하러 가다,aller pour faire ~,,,,1
362,10,1,expression,성함이 어떻게 되세요?,quel est votre nom ?,,,,2
363,10,1,expression,연세가 어떻게 되세요?,quel âge avez-vous ?,,,,3
364,10,1,expression,~께서 ~하세요,~ fait ~ (honorifique),,,,4
365,10,1,grammar,-으시-/-시-,Marque de respect envers le sujet de la phrase (= forme honorifique),Marque de respect envers le sujet de la phrase (= forme honorifique),"-으시- après consonne (sauf ㄹ), -시- après voyelle ou ㄹ. Verbes spéciaux : 있다→계시다, 자다→주무시다, 먹다→드시다",선생님께서 학교에 계세요 (Le professeur est à l'école),1
366,10,1,grammar,-으러 가다/-러 가다,Exprime le but du déplacement (= aller pour ~),Exprime le but du déplacement (= aller pour ~),"-으러 가다 après consonne, -러 가다 après voyelle ou ㄹ. Verbe de mouvement : 가다, 오다, 다니다",밥을 먹으러 가요 (Je vais manger) / 책을 빌리러 도서관에 가요 (Je vais à la bibliothèque emprunter un livre),2
367,11,1,vocabulary,기쁘다,être content(e) / joyeux,,,,1
368,11,1,vocabulary,슬프다,être triste,,,,2
369,11,1,vocabulary,행복하다,être heureux / heureuse,,,,3
370,11,1,vocabulary,재미있다,être amusant / intéressant,,,,4
371,11,1,vocabulary,재미없다,être ennuyeux / sans intérêt,,,,5
372,11,1,vocabulary,무섭다,être effrayant,,,,6
373,11,1,vocabulary,어렵다,être difficile,,,,7
374,11,1,vocabulary,쉽다,être facile,,,,8
375,11,1,vocabulary,귀엽다,être mignon(ne),,,,9
376,11,1,vocabulary,멋있다,être beau / stylé,,,,10
377,11,1,vocabulary,예쁘다,être joli(e),,,,11
378,11,1,vocabulary,편리하다,être pratique / commode,,,,12
379,11,1,vocabulary,불편하다,être inconfortable,,,,13
380,11,1,vocabulary,친절하다,être aimable / gentil,,,,14
381,11,1,vocabulary,핸드폰,téléphone portable,,,,15
382,11,1,vocabulary,가볍다,être léger,,,,16
383,11,1,vocabulary,무겁다,être lourd,,,,17
384,11,1,vocabulary,빠르다,être rapide,,,,18
385,11,1,vocabulary,느리다,être lent,,,,19
386,11,1,vocabulary,넓다,être vaste / large,,,,20
387,11,1,vocabulary,좁다,être étroit,,,,21
388,11,1,vocabulary,뮤지컬,comédie musicale,,,,22
389,11,1,vocabulary,첫사랑,premier amour,,,,23
390,11,1,vocabulary,유명하다,être célèbre,,,,24
391,11,1,vocabulary,나오다,sortir / apparaître,,,,25
392,11,1,vocabulary,경기장,stade,,,,26
393,11,1,vocabulary,월드컵,coupe du monde,,,,27
